[2024-10-08T23:35:14.837+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:14 INFO: Page 109 retrieved with 50 records.
[2024-10-08T23:35:14.921+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:14 INFO: Page 110 retrieved with 50 records.
[2024-10-08T23:35:15.328+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:15 INFO: Page 111 retrieved with 50 records.
[2024-10-08T23:35:15.741+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:15 INFO: Page 112 retrieved with 50 records.
[2024-10-08T23:35:16.149+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:16 INFO: Page 113 retrieved with 50 records.
[2024-10-08T23:35:16.244+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:16 INFO: Page 114 retrieved with 50 records.
[2024-10-08T23:35:16.342+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:16 INFO: Page 115 retrieved with 50 records.
[2024-10-08T23:35:16.768+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:16 INFO: Page 116 retrieved with 50 records.
[2024-10-08T23:35:17.183+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:17 INFO: Page 117 retrieved with 50 records.
[2024-10-08T23:35:17.268+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:17 INFO: Page 118 retrieved with 50 records.
[2024-10-08T23:35:17.351+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:17 INFO: Page 119 retrieved with 50 records.
[2024-10-08T23:35:17.755+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:17 INFO: Page 120 retrieved with 50 records.
[2024-10-08T23:35:18.181+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:18 INFO: Page 121 retrieved with 50 records.
[2024-10-08T23:35:18.264+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:18 INFO: Page 122 retrieved with 50 records.
[2024-10-08T23:35:18.669+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:18 INFO: Page 123 retrieved with 50 records.
[2024-10-08T23:35:19.082+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:19 INFO: Page 124 retrieved with 50 records.
[2024-10-08T23:35:19.603+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:19 INFO: Page 125 retrieved with 50 records.
[2024-10-08T23:35:19.689+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:19 INFO: Page 126 retrieved with 50 records.
[2024-10-08T23:35:20.099+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:20 INFO: Page 127 retrieved with 50 records.
[2024-10-08T23:35:20.202+0000] {subprocess.py:93} INFO - 2024-10-08 23:35:20 INFO: Page 128 retrieved with 50 records.
